time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_type_group,subject_area,qualification,school_type,subject_name,entry_count,perc_astar_grade_achieved,perc_astar_a_grade_achieved,perc_astar_b_grade_achieved,perc_astar_c_grade_achieved,perc_astar_d_grade_achieved,perc_astar_e_grade_achieved
202223,Academic year,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,2332,5.66038,18.91081,41.16638,66.33791,84.99142,95.58319
202223,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,2888,6.02493,20.60249,48.02632,74.0651,89.47368,98.02632
202223,Academic year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,2329,5.62473,19.62216,43.62387,68.95663,85.53027,95.74925
202223,Academic year,Local authority,E92000001,England,E12000002,North West,943,E06000064,Westmorland and Furness,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,2452,6.9739,21.90049,46.04405,71.37031,87.60196,96.16639
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E06000065,North Yorkshire,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,7037,7.81583,25.82066,52.60765,75.28776,90.27995,97.88262
202223,Academic year,Local authority,E92000001,England,E12000009,South West,933,E06000066,Somerset,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,4856,6.40445,21.97282,46.89044,71.23147,88.05601,96.27265
202223,Academic year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,1738,6.38665,21.57652,51.09321,80.43728,94.64902,99.13694
202223,Academic year,Local authority,E92000001,England,E12000009,South West,839,E06000058,"Bournemouth, Christchurch and Poole",State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,4442,7.74426,24.87618,52.47636,75.59658,90.07204,97.95137
202223,Academic year,Local authority,E92000001,England,E12000009,South West,838,E06000059,Dorset,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,4287,5.83158,20.08397,45.15979,70.49219,88.91999,97.08421
202223,Academic year,Local authority,E92000001,England,E12000008,South East,825,E06000060,Buckinghamshire,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,10926,14.5799,40.65532,66.76734,83.68113,93.50174,98.10544
202223,Academic year,Local authority,E92000001,England,E12000009,South West,420,E06000053,Isles of Scilly,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,2,0,0,100,100,100,100
