School,Location,Progressed to Sustained App'ship (%),Progressed to Sustained L4 or above  (%),Progressed to Top-Third Higher Education (%),Progressed to Russell Group Institution (%),Progressed to Oxford or Cambridge (%),Progressed to Sciences (avg) %,OFSTED Score % (Accounting for Time Since OFTSTED Visit),OFTSTED rating,Last OFSTED Visit,Performance Across All Indices %,Region_name
The Nelson Thomlinson School,Cumberland,6.00%,78.00%,27.00%,23.00%,1.00%,17.13%,75.00%,Good,2023-10-18 00:00:00,26.49%,North West
Wimbledon College,Merton,2.00%,84.00%,29.00%,22.00%,1.00%,16.65%,75.00%,Good,2023-03-22 00:00:00,26.48%,London
Consett Academy,County Durham,9.00%,67.00%,24.00%,20.00%,2.00%,19.30%,75.00%,Good,2023-05-11 00:00:00,26.48%,North East
Oak Wood School,Hillingdon,0.00%,81.00%,19.00%,19.00%,0.00%,20.00%,75.00%,Good,2022-05-18 00:00:00,26.48%,London
Gosforth Academy,Newcastle upon Tyne,1.00%,81.00%,38.00%,34.00%,2.00%,13.17%,75.00%,Good,2022-06-23 00:00:00,26.48%,North East
Space Studio West London,Hounslow,0.00%,58.00%,13.00%,6.00%,0.00%,27.38%,75.00%,Good,2023-02-09 00:00:00,26.46%,London
Clyst Vale Community College,Devon,3.00%,70.00%,33.00%,27.00%,0.00%,17.33%,75.00%,Good,2022-12-07 00:00:00,26.45%,South West
Parkstone Grammar School,"Bournemouth, Christchurch and Poole",1.00%,89.00%,41.00%,41.00%,1.00%,19.23%,20.00%,Outstanding,2017-10-12 00:00:00,26.43%,South West
Ringwood School Academy,Hampshire,2.00%,80.00%,27.00%,21.00%,0.00%,17.98%,75.00%,Good,2022-11-16 00:00:00,26.42%,South East
The Petchey Academy,Hackney,0.00%,85.00%,41.00%,43.00%,0.00%,20.75%,15.00%,Good,2018-06-05 00:00:00,26.42%,London
Kensington Aldridge Academy,Kensington and Chelsea,0.00%,90.00%,40.00%,38.00%,1.00%,19.98%,20.00%,Outstanding,2017-12-13 00:00:00,26.42%,London
Beverley Grammar School,East Riding of Yorkshire,2.00%,88.00%,44.00%,44.00%,0.00%,16.13%,33.33%,Outstanding,2021-09-30 00:00:00,26.41%,Yorkshire and The Humber
North Liverpool Academy,Liverpool,0.00%,81.00%,37.00%,37.00%,2.00%,12.73%,75.00%,Good,2022-03-23 00:00:00,26.40%,North West
Cotham School,"Bristol, City of",1.00%,80.00%,31.00%,32.00%,1.00%,14.97%,75.00%,Good,2023-10-18 00:00:00,26.39%,South West
The Harvey Grammar School,Kent,2.00%,75.00%,20.00%,13.00%,1.00%,17.10%,100.00%,Outstanding,2022-12-14 00:00:00,26.39%,South East
Trinity Catholic High School,Redbridge,2.00%,83.00%,29.00%,28.00%,,15.67%,75.00%,Good,2023-03-01 00:00:00,26.38%,London
WMG Academy for Young Engineers,Coventry,7.00%,49.00%,8.00%,5.00%,0.00%,28.58%,75.00%,Good,2022-06-08 00:00:00,26.38%,West Midlands
Spalding Grammar School,Lincolnshire,4.00%,86.00%,37.00%,28.00%,2.00%,21.32%,25.00%,Good,2019-02-05 00:00:00,26.37%,East Midlands
Meadowhead School Academy Trust,Sheffield,1.00%,82.00%,24.00%,22.00%,0.00%,17.98%,75.00%,Good,2022-06-08 00:00:00,26.36%,Yorkshire and The Humber
Accrington St Christopher's Church of England High School,Lancashire,1.00%,88.00%,37.00%,27.00%,1.00%,13.55%,75.00%,Good,2022-03-16 00:00:00,26.35%,North West
Brentwood Ursuline Convent High School,Essex,2.00%,84.00%,29.00%,26.00%,0.00%,15.80%,75.00%,Good,2023-03-17 00:00:00,26.33%,East of England
Sidney Stringer Academy,Coventry,1.00%,82.00%,16.00%,16.00%,3.00%,19.70%,75.00%,Good,2023-02-09 00:00:00,26.33%,West Midlands
Reach Academy Feltham,Hounslow,0.00%,100.00%,47.00%,43.00%,3.00%,15.45%,20.00%,Outstanding,2014-03-12 00:00:00,26.32%,London
East Leake Academy,Nottinghamshire,7.00%,91.00%,47.00%,38.00%,0.00%,16.67%,25.00%,Good,2019-10-16 00:00:00,26.30%,East Midlands
Whickham School,Gateshead,1.00%,75.00%,38.00%,35.00%,0.00%,14.07%,75.00%,Good,2023-05-18 00:00:00,26.28%,North East
Calderstones School,Liverpool,0.00%,85.00%,28.00%,26.00%,1.00%,15.75%,75.00%,Good,2023-01-25 00:00:00,26.27%,North West
Brooke Weston Academy,North Northamptonshire,2.00%,81.00%,32.00%,28.00%,3.00%,14.52%,75.00%,Good,2023-11-08 00:00:00,26.27%,East Midlands
Whitmore High School,Harrow,1.00%,88.00%,33.00%,30.00%,1.00%,22.62%,20.00%,Outstanding,2015-03-06 00:00:00,26.27%,London
Hereford Sixth Form College,"Herefordshire, County of",2.00%,69.00%,23.00%,24.00%,3.00%,14.58%,100.00%,Outstanding,2023-01-27 00:00:00,26.23%,West Midlands
Stepney All Saints Church of England Secondary School,Tower Hamlets,0.00%,89.00%,38.00%,36.00%,1.00%,18.28%,33.33%,Outstanding,2021-10-14 00:00:00,26.23%,London
Cramlington Learning Village,Northumberland,0.00%,81.00%,33.00%,31.00%,1.00%,14.50%,75.00%,Good,2022-03-31 00:00:00,26.23%,North East
Higham Lane School,Warwickshire,4.00%,89.00%,31.00%,28.00%,0.00%,20.55%,33.33%,Outstanding,2019-05-02 00:00:00,26.19%,West Midlands
Edgbarrow School,Bracknell Forest,2.00%,77.00%,22.00%,19.00%,3.00%,14.30%,100.00%,Outstanding,2022-11-23 00:00:00,26.17%,South East
Grantham College,Lincolnshire,3.00%,36.00%,0.00%,0.00%,0.00%,33.33%,75.00%,Good,2023-01-27 00:00:00,26.17%,East Midlands
Queens Park Community School,Brent,0.00%,88.00%,44.00%,41.00%,2.00%,17.43%,25.00%,Good,2019-12-04 00:00:00,26.15%,London
Ark Putney Academy,Wandsworth,0.00%,91.00%,25.00%,25.00%,2.00%,14.95%,75.00%,Good,2022-11-10 00:00:00,26.14%,London
Notre Dame Catholic Sixth Form College,Leeds,1.00%,83.00%,23.00%,22.00%,1.00%,13.13%,100.00%,Outstanding,2022-03-11 00:00:00,26.14%,Yorkshire and The Humber
Cockermouth School,Cumberland,7.00%,84.00%,43.00%,32.00%,1.00%,20.78%,15.00%,Good,2018-05-22 00:00:00,26.13%,North West
Ark King Solomon Academy,Westminster,0.00%,94.00%,45.00%,43.00%,2.00%,16.67%,20.00%,Outstanding,2013-05-15 00:00:00,26.13%,London
Springwood High School,Norfolk,4.00%,75.00%,32.00%,27.00%,1.00%,15.57%,75.00%,Good,2022-11-03 00:00:00,26.11%,East of England
Southend High School for Girls,Southend-on-Sea,4.00%,91.00%,47.00%,39.00%,3.00%,16.67%,20.00%,Outstanding,2011-12-09 00:00:00,26.11%,East of England
The Bridge Academy,Hackney,0.00%,84.00%,33.00%,31.00%,2.00%,13.50%,75.00%,Good,2023-02-23 00:00:00,26.10%,London
The Garibaldi School,Nottinghamshire,0.00%,75.00%,15.00%,15.00%,5.00%,20.43%,75.00%,Good,2023-06-07 00:00:00,26.09%,East Midlands
St George's School,Hertfordshire,1.00%,92.00%,56.00%,47.00%,4.00%,13.61%,20.00%,Outstanding,2014-09-11 00:00:00,26.09%,East of England
Cranford Community College,Hounslow,2.00%,84.00%,16.00%,13.00%,1.00%,19.78%,75.00%,Good,2022-03-10 00:00:00,26.07%,London
Maidstone Grammar School for Girls,Kent,2.00%,81.00%,25.00%,22.00%,2.00%,12.55%,100.00%,Outstanding,2023-03-08 00:00:00,26.06%,South East
Hardenhuish School,Wiltshire,3.00%,82.00%,30.00%,30.00%,1.00%,14.12%,75.00%,Good,2023-11-01 00:00:00,26.02%,South West
Kettering Science Academy,North Northamptonshire,4.00%,76.00%,20.00%,20.00%,2.00%,18.32%,75.00%,Good,2023-07-12 00:00:00,25.99%,East Midlands
St Anne's Catholic High School for Girls,Enfield,0.00%,95.00%,23.00%,23.00%,0.00%,11.05%,100.00%,Outstanding,2022-11-23 00:00:00,25.99%,London
Tunbridge Wells Grammar School for Boys,Kent,2.00%,90.00%,51.00%,41.00%,4.00%,14.77%,25.00%,Good,2021-11-25 00:00:00,25.98%,South East
The Crypt School,Gloucestershire,6.00%,81.00%,23.00%,34.00%,1.00%,23.25%,20.00%,Outstanding,2012-05-17 00:00:00,25.98%,South West
Q3 Academy Great Barr,Sandwell,4.00%,96.00%,20.00%,20.00%,2.00%,14.95%,75.00%,Good,2022-09-22 00:00:00,25.98%,West Midlands
The St Marylebone CofE School,Westminster,2.00%,90.00%,54.00%,53.00%,4.00%,12.68%,20.00%,Outstanding,2014-04-02 00:00:00,25.98%,London
Fort Pitt Grammar School,Medway,2.00%,83.00%,23.00%,21.00%,2.00%,12.57%,100.00%,Outstanding,2022-10-05 00:00:00,25.97%,South East
Blessed William Howard Catholic School,Staffordshire,2.00%,92.00%,33.00%,31.00%,2.00%,19.88%,25.00%,Good,2019-01-29 00:00:00,25.96%,West Midlands
Myton School,Warwickshire,1.00%,89.00%,35.00%,34.00%,1.00%,11.52%,75.00%,Good,2023-02-08 00:00:00,25.95%,West Midlands
Devonport High School for Girls,Plymouth,1.00%,85.00%,39.00%,38.00%,1.00%,19.03%,25.00%,Good,2019-11-20 00:00:00,25.94%,South West
Davenant Foundation School,Essex,5.00%,88.00%,37.00%,35.00%,1.00%,18.77%,25.00%,Good,2021-09-29 00:00:00,25.92%,East of England
St Philomena's Catholic High School for Girls,Sutton,3.00%,93.00%,26.00%,25.00%,2.00%,13.48%,75.00%,Good,2022-02-25 00:00:00,25.91%,London
Christ The King Voluntary Academy,Nottinghamshire,0.00%,90.00%,27.00%,22.00%,0.00%,15.37%,75.00%,Good,2023-05-11 00:00:00,25.88%,East Midlands
Ponteland High School,Northumberland,3.00%,77.00%,32.00%,29.00%,1.00%,14.55%,75.00%,Good,2023-05-24 00:00:00,25.88%,North East
Duke of York's Royal Military School,Kent,5.00%,86.00%,25.00%,19.00%,2.00%,15.63%,75.00%,Good,2023-02-09 00:00:00,25.88%,South East
William Brookes School,Shropshire,2.00%,75.00%,20.00%,23.00%,2.00%,17.98%,75.00%,Good,2023-02-15 00:00:00,25.88%,West Midlands
Bishop's Hatfield Girls' School,Hertfordshire,1.00%,88.00%,26.00%,26.00%,0.00%,10.70%,100.00%,Outstanding,2022-12-07 00:00:00,25.87%,East of England
Blue Coat Church of England School and Music College,Coventry,1.00%,90.00%,20.00%,18.00%,1.00%,16.87%,75.00%,Good,2023-05-11 00:00:00,25.86%,West Midlands
The Willink School,West Berkshire,1.00%,81.00%,31.00%,24.00%,1.00%,15.33%,75.00%,Good,2023-10-05 00:00:00,25.86%,South East
Wilmington Grammar School for Boys,Kent,7.00%,86.00%,19.00%,17.00%,0.00%,17.10%,75.00%,Good,2023-03-14 00:00:00,25.83%,South East
Christ's Church of England Comprehensive Secondary School,Richmond upon Thames,1.00%,91.00%,41.00%,42.00%,1.00%,16.68%,25.00%,Good,2021-11-25 00:00:00,25.83%,London
The Blue School,Somerset,0.00%,71.00%,38.00%,39.00%,1.00%,12.93%,75.00%,Good,2023-05-18 00:00:00,25.82%,South West
St Bede's Catholic College,"Bristol, City of",0.00%,83.00%,30.00%,37.00%,2.00%,20.72%,25.00%,Good,2021-10-15 00:00:00,25.81%,South West
Swakeleys School for Girls,Hillingdon,1.00%,85.00%,33.00%,32.00%,5.00%,11.58%,75.00%,Good,2022-05-18 00:00:00,25.78%,London
Harris Academy Bermondsey,Southwark,0.00%,97.00%,38.00%,34.00%,9.00%,16.68%,20.00%,Outstanding,2015-03-19 00:00:00,25.78%,London
Bexley Grammar School,Bexley,4.00%,88.00%,58.00%,48.00%,1.00%,0.00%,100.00%,Outstanding,2022-10-19 00:00:00,25.76%,London
The Gryphon School,Dorset,1.00%,78.00%,30.00%,26.00%,2.00%,15.13%,75.00%,Good,2023-06-21 00:00:00,25.75%,South West
The Holy Cross School,Kingston upon Thames,0.00%,85.00%,36.00%,32.00%,1.00%,12.17%,75.00%,Good,2022-05-19 00:00:00,25.74%,London
The Heathland School,Hounslow,2.00%,88.00%,25.00%,23.00%,3.00%,23.63%,20.00%,Outstanding,2013-06-13 00:00:00,25.74%,London
Oldbury Wells School,Shropshire,0.00%,74.00%,21.00%,21.00%,9.00%,16.68%,75.00%,Good,2023-04-26 00:00:00,25.73%,West Midlands
Teesdale School and Sixth Form,County Durham,5.00%,65.00%,40.00%,33.00%,5.00%,19.70%,33.33%,Outstanding,2019-06-19 00:00:00,25.72%,North East
Southmoor Academy,Sunderland,3.00%,85.00%,31.00%,30.00%,3.00%,12.33%,75.00%,Good,2022-09-28 00:00:00,25.71%,North East
Brinsworth Academy,Rotherham,2.00%,89.00%,23.00%,22.00%,0.00%,15.52%,75.00%,Good,2022-02-03 00:00:00,25.71%,Yorkshire and The Humber
Ripley St Thomas Church of England Academy,Lancashire,5.00%,79.00%,28.00%,18.00%,1.00%,12.22%,100.00%,Outstanding,2022-12-15 00:00:00,25.70%,North West
Orleans Park School,Richmond upon Thames,1.00%,88.00%,44.00%,41.00%,2.00%,17.18%,20.00%,Outstanding,2017-11-16 00:00:00,25.69%,London
The John Fisher School,Sutton,5.00%,85.00%,25.00%,21.00%,2.00%,15.00%,75.00%,Good,2023-06-21 00:00:00,25.68%,London
The Elms Academy,Lambeth,2.00%,86.00%,11.00%,11.00%,0.00%,28.47%,25.00%,Good,2020-02-05 00:00:00,25.67%,London
Alsager School,Cheshire East,2.00%,77.00%,31.00%,22.00%,0.00%,16.07%,75.00%,Good,2023-01-18 00:00:00,25.65%,North West
St Clement Danes School,Hertfordshire,1.00%,92.00%,50.00%,43.00%,3.00%,14.72%,20.00%,Outstanding,2011-10-14 00:00:00,25.62%,East of England
Hayesfield Girls School,Bath and North East Somerset,0.00%,86.00%,35.00%,38.00%,2.00%,10.47%,75.00%,Good,2022-11-16 00:00:00,25.62%,South West
Anglo European School,Essex,1.00%,84.00%,38.00%,34.00%,0.00%,11.40%,75.00%,Good,2022-10-12 00:00:00,25.60%,East of England
St Aloysius RC College,Islington,0.00%,89.00%,26.00%,26.00%,0.00%,14.33%,75.00%,Good,2022-06-08 00:00:00,25.60%,London
Longbenton High School,North Tyneside,0.00%,77.00%,29.00%,23.00%,3.00%,15.68%,75.00%,Good,2022-06-29 00:00:00,25.60%,North East
SGS Berkeley Green UTC,Gloucestershire,7.00%,52.00%,7.00%,5.00%,0.00%,26.65%,75.00%,Good,2022-02-16 00:00:00,25.57%,South West
Brookfield Community School,Derbyshire,2.00%,85.00%,33.00%,29.00%,1.00%,12.58%,75.00%,Good,2023-04-19 00:00:00,25.57%,East Midlands
Beckfoot Thornton,Bradford,0.00%,86.00%,17.00%,17.00%,2.00%,17.57%,75.00%,Good,2023-09-14 00:00:00,25.57%,Yorkshire and The Humber
Bartholomew School,Oxfordshire,3.00%,85.00%,39.00%,40.00%,4.00%,17.62%,20.00%,Outstanding,2013-05-22 00:00:00,25.56%,South East
Caldew School,Cumberland,2.00%,73.00%,27.00%,17.00%,0.00%,18.20%,75.00%,Good,2022-06-22 00:00:00,25.55%,North West
Eastbury Community School,Barking and Dagenham,2.00%,90.00%,43.00%,41.00%,5.00%,16.65%,15.00%,Good,2018-07-12 00:00:00,25.55%,London
Blessed George Napier Catholic School and Sixth Form,Oxfordshire,0.00%,83.00%,27.00%,30.00%,2.00%,13.75%,75.00%,Good,2022-11-23 00:00:00,25.54%,South East
St Wilfrid's Church of England Academy,Blackburn with Darwen,4.00%,79.00%,25.00%,17.00%,1.00%,16.93%,75.00%,Good,2023-01-11 00:00:00,25.54%,North West
Nishkam High School,Birmingham,2.00%,89.00%,39.00%,39.00%,2.00%,17.73%,20.00%,Outstanding,2014-05-01 00:00:00,25.52%,West Midlands
Oaklands Catholic School,Hampshire,5.00%,75.00%,27.00%,26.00%,1.00%,15.23%,75.00%,Good,2022-07-06 00:00:00,25.51%,South East
Hammersmith Academy,Hammersmith and Fulham,2.00%,89.00%,22.00%,22.00%,0.00%,15.28%,75.00%,Good,2022-01-20 00:00:00,25.51%,London
Fitzharrys School,Oxfordshire,0.00%,74.00%,13.00%,17.00%,0.00%,20.60%,75.00%,Good,2023-04-26 00:00:00,25.50%,South East
Bordesley Green Girls' School & Sixth Form,Birmingham,1.00%,73.00%,9.00%,9.00%,0.00%,22.82%,75.00%,Good,2022-04-27 00:00:00,25.47%,West Midlands
Matthew Arnold School,Oxfordshire,0.00%,83.00%,43.00%,42.00%,5.00%,17.80%,15.00%,Good,2018-11-14 00:00:00,25.47%,South East
Isleworth and Syon School for Boys,Hounslow,0.00%,82.00%,17.00%,14.00%,1.00%,18.87%,75.00%,Good,2023-11-15 00:00:00,25.46%,London
Drayton Manor High School,Ealing,1.00%,88.00%,35.00%,32.00%,4.00%,19.52%,20.00%,Outstanding,2012-05-25 00:00:00,25.46%,London
Gosford Hill School,Oxfordshire,0.00%,80.00%,18.00%,20.00%,0.00%,18.03%,75.00%,Good,2022-02-16 00:00:00,25.43%,South East
Swanwick Hall School,Derbyshire,0.00%,78.00%,16.00%,16.00%,0.00%,19.50%,75.00%,Good,2023-01-11 00:00:00,25.43%,East Midlands
St Benet Biscop Catholic Academy,Northumberland,0.00%,76.00%,22.00%,22.00%,0.00%,17.60%,75.00%,Good,2023-01-18 00:00:00,25.42%,North East
Painsley Catholic College,Staffordshire,4.00%,71.00%,14.00%,13.00%,1.00%,20.65%,75.00%,Good,2022-05-18 00:00:00,25.42%,West Midlands
Maidstone Grammar School,Kent,3.00%,82.00%,36.00%,29.00%,3.00%,19.92%,25.00%,Good,2019-01-16 00:00:00,25.40%,South East
St Saviour's and St Olave's Church of England School,Southwark,0.00%,90.00%,30.00%,30.00%,5.00%,10.95%,75.00%,Good,2022-11-17 00:00:00,25.35%,London
Ranelagh School,Bracknell Forest,0.00%,92.00%,44.00%,39.00%,3.00%,16.15%,20.00%,Outstanding,2015-03-20 00:00:00,25.35%,South East
Hampstead School,Camden,0.00%,79.00%,24.00%,23.00%,0.00%,16.37%,75.00%,Good,2023-04-20 00:00:00,25.32%,London
Harton Academy,South Tyneside,4.00%,84.00%,37.00%,34.00%,2.00%,14.17%,50.00%,Requires improvement,2022-03-02 00:00:00,25.32%,North East
St Michael's Church of England High School,Sefton,0.00%,85.00%,23.00%,23.00%,0.00%,19.67%,50.00%,Requires improvement,2022-11-09 00:00:00,25.30%,North West
Queen Elizabeth's,Devon,0.00%,71.00%,30.00%,30.00%,3.00%,14.52%,75.00%,Good,2022-05-18 00:00:00,25.30%,South West
Bingley Grammar School,Bradford,2.00%,84.00%,24.00%,23.00%,0.00%,15.17%,75.00%,Good,2023-09-15 00:00:00,25.30%,Yorkshire and The Humber
Central Foundation Boys' School,Islington,2.00%,86.00%,33.00%,28.00%,3.00%,20.75%,20.00%,Outstanding,2015-02-04 00:00:00,25.30%,London
Sydenham School,Lewisham,1.00%,89.00%,31.00%,31.00%,2.00%,11.20%,75.00%,Good,2022-06-22 00:00:00,25.28%,London
Chelmer Valley High School,Essex,4.00%,65.00%,28.00%,25.00%,0.00%,16.88%,75.00%,Good,2023-06-14 00:00:00,25.27%,East of England
The Arthur Terry School,Birmingham,3.00%,83.00%,24.00%,22.00%,0.00%,15.30%,75.00%,Good,2022-11-16 00:00:00,25.27%,West Midlands
Temple Moor High School,Leeds,4.00%,72.00%,31.00%,27.00%,0.00%,14.75%,75.00%,Good,2023-03-02 00:00:00,25.24%,Yorkshire and The Humber
Gordon's School,Surrey,0.00%,83.00%,47.00%,41.00%,1.00%,17.03%,20.00%,Outstanding,2014-11-13 00:00:00,25.24%,South East
Burford School,Oxfordshire,1.00%,72.00%,33.00%,34.00%,1.00%,13.27%,75.00%,Good,2023-10-11 00:00:00,25.24%,South East
Haydon School,Hillingdon,1.00%,85.00%,28.00%,26.00%,,13.77%,75.00%,Good,2022-10-05 00:00:00,25.23%,London
Grey Court School,Richmond upon Thames,1.00%,84.00%,40.00%,36.00%,2.00%,18.57%,20.00%,Outstanding,2018-01-11 00:00:00,25.22%,London
Poynton High School,Cheshire East,3.00%,81.00%,40.00%,33.00%,1.00%,10.42%,75.00%,Good,2023-06-29 00:00:00,25.22%,North West
Coombe Girls' School,Kingston upon Thames,2.00%,93.00%,44.00%,41.00%,3.00%,14.97%,20.00%,Outstanding,2013-05-16 00:00:00,25.21%,London
Morpeth School,Tower Hamlets,2.00%,86.00%,26.00%,26.00%,1.00%,13.45%,75.00%,Good,2023-03-09 00:00:00,25.20%,London
Bishop Heber High School,Cheshire West and Chester,2.00%,68.00%,32.00%,24.00%,0.00%,16.10%,75.00%,Good,2022-11-02 00:00:00,25.20%,North West
Valentines High School,Redbridge,1.00%,94.00%,33.00%,29.00%,0.00%,17.67%,33.33%,Outstanding,2021-10-06 00:00:00,25.18%,London
Kimberley 16 - 19 Stem College,Bedford,2.00%,71.00%,20.00%,19.00%,,18.47%,75.00%,Good,2023-05-05 00:00:00,25.13%,East of England
St Cuthbert's High School,Newcastle upon Tyne,0.00%,86.00%,47.00%,44.00%,1.00%,16.25%,16.67%,Requires improvement,2021-07-01 00:00:00,25.12%,North East
Kings Priory School,North Tyneside,3.00%,92.00%,43.00%,38.00%,3.00%,14.70%,25.00%,Good,2019-03-07 00:00:00,25.11%,North East
Invicta Grammar School,Kent,5.00%,80.00%,36.00%,33.00%,3.00%,19.37%,20.00%,Outstanding,2012-09-21 00:00:00,25.11%,South East
Ribston Hall High School,Gloucestershire,1.00%,87.00%,19.00%,25.00%,1.00%,14.58%,75.00%,Good,2022-05-11 00:00:00,25.08%,South West
Harington School,Rutland,3.00%,89.00%,40.00%,34.00%,3.00%,17.28%,20.00%,Outstanding,2017-01-19 00:00:00,25.08%,East Midlands
Tytherington School,Cheshire East,4.00%,69.00%,31.00%,25.00%,0.00%,15.28%,75.00%,Good,2022-04-27 00:00:00,25.06%,North West
Queens' School,Hertfordshire,2.00%,86.00%,34.00%,31.00%,1.00%,19.13%,25.00%,Good,2019-09-18 00:00:00,25.04%,East of England
King Charles I School,Worcestershire,2.00%,88.00%,16.00%,16.00%,0.00%,16.68%,75.00%,Good,2023-03-03 00:00:00,25.03%,West Midlands
All Saints' Catholic High School,Sheffield,3.00%,86.00%,22.00%,21.00%,1.00%,14.60%,75.00%,Good,2023-10-11 00:00:00,25.02%,Yorkshire and The Humber
Ark Globe Academy,Southwark,0.00%,93.00%,31.00%,33.00%,5.00%,17.30%,25.00%,Good,2021-12-01 00:00:00,24.99%,London
Erasmus Darwin Academy,Staffordshire,5.00%,87.00%,24.00%,21.00%,0.00%,13.90%,75.00%,Good,2023-05-17 00:00:00,24.97%,West Midlands
Harris Academy Beckenham,Bromley,1.00%,74.00%,14.00%,12.00%,0.00%,16.00%,100.00%,Outstanding,2023-05-05 00:00:00,24.95%,London
Formby High School,Sefton,4.00%,80.00%,33.00%,32.00%,1.00%,11.23%,75.00%,Good,2022-11-03 00:00:00,24.94%,North West
Dormers Wells High School,Ealing,1.00%,88.00%,21.00%,20.00%,2.00%,22.85%,25.00%,Good,2021-12-01 00:00:00,24.93%,London
Wilsthorpe School,Derbyshire,3.00%,76.00%,30.00%,24.00%,0.00%,14.37%,75.00%,Good,2023-05-11 00:00:00,24.92%,East Midlands
Esher Sixth Form College,Surrey,1.00%,82.00%,31.00%,27.00%,,8.75%,100.00%,Outstanding,2022-09-23 00:00:00,24.91%,South East
Walton High,Milton Keynes,0.00%,84.00%,16.00%,11.00%,0.00%,18.43%,75.00%,Good,2023-05-17 00:00:00,24.90%,South East
The Marches School,Shropshire,2.00%,77.00%,21.00%,29.00%,1.00%,14.53%,75.00%,Good,2023-09-27 00:00:00,24.87%,West Midlands
The Nobel School,Hertfordshire,2.00%,85.00%,18.00%,15.00%,2.00%,16.20%,75.00%,Good,2023-06-21 00:00:00,24.85%,East of England
Winstanley College,Wigan,3.00%,86.00%,44.00%,36.00%,3.00%,15.32%,25.00%,Good,2020-02-06 00:00:00,24.80%,North West
John Masefield High School,"Herefordshire, County of",0.00%,76.00%,20.00%,20.00%,0.00%,16.98%,75.00%,Good,2022-11-30 00:00:00,24.74%,West Midlands
Joseph Rowntree School,York,0.00%,76.00%,29.00%,25.00%,0.00%,14.45%,75.00%,Good,2022-10-13 00:00:00,24.73%,Yorkshire and The Humber
Tarporley High School and Sixth Form College,Cheshire West and Chester,1.00%,75.00%,24.00%,21.00%,1.00%,15.83%,75.00%,Good,2023-04-26 00:00:00,24.73%,North West
Corby Technical School,North Northamptonshire,0.00%,89.00%,17.00%,17.00%,0.00%,24.98%,20.00%,Outstanding,2014-04-30 00:00:00,24.69%,East Midlands
Stoke Park School,Coventry,0.00%,78.00%,10.00%,10.00%,0.00%,20.22%,75.00%,Good,2022-03-10 00:00:00,24.69%,West Midlands
George Abbot School,Surrey,1.00%,83.00%,34.00%,26.00%,3.00%,19.60%,25.00%,Good,2019-12-11 00:00:00,24.69%,South East
Trinity CofE High School,Manchester,0.00%,92.00%,37.00%,29.00%,0.00%,18.73%,20.00%,Outstanding,2014-01-16 00:00:00,24.68%,North West
Boston Spa Academy,Leeds,6.00%,72.00%,19.00%,16.00%,0.00%,13.33%,100.00%,Outstanding,2023-01-25 00:00:00,24.68%,Yorkshire and The Humber
Highsted Grammar School,Kent,1.00%,89.00%,33.00%,25.00%,1.00%,11.12%,75.00%,Good,2023-01-18 00:00:00,24.68%,South East
The Windsor Boys' School,Windsor and Maidenhead,1.00%,78.00%,27.00%,24.00%,1.00%,14.13%,75.00%,Good,2023-05-11 00:00:00,24.68%,South East
Appleby Grammar School,Westmorland and Furness,4.00%,60.00%,24.00%,24.00%,0.00%,17.37%,75.00%,Good,2022-04-27 00:00:00,24.67%,North West
North Leamington School,Warwickshire,3.00%,83.00%,35.00%,31.00%,2.00%,18.28%,25.00%,Good,2019-09-25 00:00:00,24.66%,West Midlands
Runshaw College,Lancashire,3.00%,73.00%,25.00%,18.00%,1.00%,16.13%,75.00%,Good,2022-03-10 00:00:00,24.66%,North West
Queen Elizabeth's Grammar Alford - A Selective Academy,Lincolnshire,2.00%,88.00%,41.00%,38.00%,2.00%,15.18%,25.00%,Good,2021-11-24 00:00:00,24.64%,East Midlands
Sherburn High School,North Yorkshire,3.00%,67.00%,33.00%,27.00%,0.00%,14.20%,75.00%,Good,2023-10-19 00:00:00,24.63%,Yorkshire and The Humber
St Michael's Catholic College,Southwark,3.00%,90.00%,37.00%,33.00%,3.00%,16.92%,20.00%,Outstanding,2013-07-04 00:00:00,24.63%,London
Altwood CofE Secondary School,Windsor and Maidenhead,3.00%,63.00%,14.00%,17.00%,0.00%,20.00%,75.00%,Good,2023-09-20 00:00:00,24.62%,South East
"English Martyrs' Catholic School, A Voluntary Academy",Leicester,0.00%,92.00%,30.00%,26.00%,0.00%,11.15%,75.00%,Good,2023-05-05 00:00:00,24.59%,East Midlands
John Port Spencer Academy,Derbyshire,2.00%,78.00%,30.00%,29.00%,2.00%,12.03%,75.00%,Good,2022-05-18 00:00:00,24.58%,East Midlands
East Barnet School,Barnet,2.00%,80.00%,30.00%,20.00%,2.00%,13.50%,75.00%,Good,2022-03-16 00:00:00,24.58%,London
"Barking Abbey School, A Specialist Sports and Humanities College",Barking and Dagenham,3.00%,78.00%,23.00%,22.00%,,14.92%,75.00%,Good,2022-12-07 00:00:00,24.58%,London
Woldgate School and Sixth Form College,East Riding of Yorkshire,3.00%,85.00%,35.00%,31.00%,0.00%,18.25%,25.00%,Good,2019-10-02 00:00:00,24.56%,Yorkshire and The Humber
Cottingham High School and Sixth Form College,East Riding of Yorkshire,3.00%,68.00%,26.00%,23.00%,3.00%,15.10%,75.00%,Good,2022-06-09 00:00:00,24.56%,Yorkshire and The Humber
Bentley Wood High School,Harrow,0.00%,94.00%,42.00%,39.00%,1.00%,15.05%,20.00%,Outstanding,2012-05-11 00:00:00,24.55%,London
