School,Location,Progressed to Sustained App'ship (%),Progressed to Sustained L4 or above  (%),Progressed to Top-Third Higher Education (%),Progressed to Russell Group Institution (%),Progressed to Oxford or Cambridge (%),Progressed to Sciences (avg) %,OFSTED Score % (Accounting for Time Since OFTSTED Visit),OFTSTED rating,Last OFSTED Visit,Performance Across All Indices %,Region_name
Stratford Girls' Grammar School,Warwickshire,1.00%,97.00%,66.00%,61.00%,7.00%,22.08%,100.00%,Outstanding,2022-09-28 00:00:00,40.02%,West Midlands
Upton Court Grammar School,Slough,3.00%,91.00%,42.00%,40.00%,1.00%,31.72%,100.00%,Outstanding,2022-11-30 00:00:00,39.65%,South East
Nonsuch High School for Girls,Sutton,1.00%,96.00%,75.00%,68.00%,7.00%,30.98%,25.00%,Good,2021-06-09 00:00:00,39.58%,London
London Academy of Excellence Tottenham,Haringey,1.00%,94.00%,71.00%,66.00%,7.00%,30.77%,33.33%,Outstanding,2021-11-18 00:00:00,39.47%,London
The London Oratory School,Hammersmith and Fulham,1.00%,98.00%,76.00%,69.00%,4.00%,18.18%,100.00%,Outstanding,2022-09-14 00:00:00,39.41%,London
Lawrence Sheriff School,Warwickshire,3.00%,92.00%,52.00%,46.00%,1.00%,28.03%,100.00%,Outstanding,2022-03-30 00:00:00,39.32%,West Midlands
Sutton Coldfield Grammar School for Girls,Birmingham,5.00%,95.00%,59.00%,58.00%,5.00%,26.60%,75.00%,Good,2022-11-09 00:00:00,39.22%,West Midlands
Sir Henry Floyd Grammar School,Buckinghamshire,2.00%,91.00%,53.00%,48.00%,4.00%,26.72%,100.00%,Outstanding,2022-12-14 00:00:00,39.16%,South East
Dartford Grammar School,Kent,3.00%,97.00%,80.00%,69.00%,4.00%,16.67%,100.00%,Outstanding,2022-12-07 00:00:00,39.07%,South East
King Edward VI Handsworth Grammar School for Boys,Birmingham,1.00%,95.00%,43.00%,44.00%,2.00%,28.87%,100.00%,Outstanding,2022-03-23 00:00:00,39.00%,West Midlands
St Paul's Way Trust School,Tower Hamlets,1.00%,94.00%,63.00%,62.00%,3.00%,25.50%,75.00%,Good,2022-09-30 00:00:00,38.74%,London
Sale Grammar School,Trafford,1.00%,91.00%,62.00%,58.00%,3.00%,22.35%,100.00%,Outstanding,2022-06-30 00:00:00,38.52%,North West
The Rochester Grammar School,Medway,3.00%,88.00%,50.00%,37.00%,1.00%,33.33%,75.00%,Good,2023-01-18 00:00:00,38.49%,South East
Townley Grammar School,Bexley,2.00%,93.00%,52.00%,44.00%,2.00%,26.10%,100.00%,Outstanding,2023-03-01 00:00:00,38.28%,London
Langley Grammar School,Slough,3.00%,96.00%,58.00%,58.00%,3.00%,32.43%,33.33%,Outstanding,2021-11-25 00:00:00,38.25%,South East
Newport Girls' High School Academy,Telford and Wrekin,0.00%,90.00%,58.00%,50.00%,4.00%,24.02%,100.00%,Outstanding,2022-11-02 00:00:00,38.18%,West Midlands
Nottingham University Academy of Science and Technology,Nottingham,2.00%,84.00%,42.00%,39.00%,4.00%,33.57%,75.00%,Good,2022-09-29 00:00:00,38.10%,East Midlands
Bishop Vesey's Grammar School,Birmingham,4.00%,96.00%,64.00%,62.00%,3.00%,32.30%,20.00%,Outstanding,2014-10-09 00:00:00,38.06%,West Midlands
Woodhouse College,Barnet,1.00%,92.00%,57.00%,52.00%,3.00%,22.78%,100.00%,Outstanding,2022-05-27 00:00:00,37.80%,London
Urmston Grammar Academy,Trafford,4.00%,88.00%,54.00%,53.00%,1.00%,27.83%,75.00%,Good,2022-05-25 00:00:00,37.76%,North West
Ripon Grammar School,North Yorkshire,1.00%,85.00%,61.00%,56.00%,6.00%,25.73%,75.00%,Good,2023-01-26 00:00:00,37.72%,Yorkshire and The Humber
Wallington High School for Girls,Sutton,2.00%,96.00%,65.00%,57.00%,2.00%,32.18%,25.00%,Good,2019-10-09 00:00:00,37.71%,London
Hills Road Sixth Form College,Cambridgeshire,1.00%,90.00%,56.00%,52.00%,5.00%,22.58%,100.00%,Outstanding,2022-02-04 00:00:00,37.70%,East of England
King Edward VI School,Warwickshire,1.00%,96.00%,79.00%,76.00%,8.00%,23.23%,33.33%,Outstanding,2021-12-01 00:00:00,37.66%,West Midlands
John Hampden Grammar School,Buckinghamshire,3.00%,89.00%,50.00%,44.00%,1.00%,25.80%,100.00%,Outstanding,2022-09-15 00:00:00,37.59%,South East
